title	is_fake
франкфуртский книжный ярмарка россия представить издательство	0
изз сбой приложение конституция россия ввести конституционный монархия	1
учёный заглянуть прошлое марсианский океан	0
период предвыборный кампания магазин изъять книга захар прилепин	1
группа король шут дать концерт вокалист	0
швейцария найти золото ленин получить немец революция россия	1
мила кунис стать ведьма страна оз	0
тбилиси начаться столкновение полиция протестовать изз приезд познер	1
оправдать российский суд назначать условный наказание	1
сибирский учёный создать полотенце водоотталкивающий свойство	1
вмф россия пополниться новый подлодка	0
росприроднадзор потребовать отозвать лицензия британский нефтяник	0
лан дель рей вдохновиться конфликт сша кндр написать песня	0
минпросвещение предложить пороть розга участвовать митинг школьник студент	1
барселона выйти четвертьфинал лига чемпион	0
белоруссия запретить делать евроремонт	1
минэнерго фрг выпустить обучать ролик пошив тулуп	1
российский орбитальный станция сформировать модуль	0
стать мем дед гарольд привязать стул доминировать начальница	0
умереть поэтесса андре шедид	0
летний аргентинка забеременеть прививка спутник v	1
доллар рухнуть отказ фнб американский валюта	1
польша готовиться издать поэма папа римский	0
подмосковье сутки искать полицейский поехать проверка мусороперерабатывающий завод	1
олимпийский винтовка бьорндалить ошибка отправить амстердам	0
четырёхкратный олимпийский чемпионка уйти спорт	0
станислав черчёс назначить новый главный тренер сборная россия футбол	1
чиновник утвердить основный положение отмена мобильный рабство	0
ухань честь годовщина пандемия covid испечь самый большой мир пирог летучий мышь	1
медведев решить ликвидировать рффи	0
елизавета ii посетить кентерберийский завод колёсный тягач устроить разнос руководство	1
старый playstation расплавить c помощь газ термит	0
андрей кондрашов снять фильм минск дорога домой	1
чубайс попросить откачать вакцина pfizer	1
марк цукерберг прибыть коростенский суд иск мэр город facebook негативный комментарий горожанин свой пост	1
россиянин обязать страховать свой пенсионный накопление	1
взрыв батарея мобильник убить китаец	0
госдума чтение убрать библия заповедь украсть	1
бывший форвард сборная юар футбол погибнуть дтп	0
роберт даунимладший сражаться чужой дик запад	0
австралия присоединиться запрет кассетный боеприпас	0
любовь соболь пообещать продолжить борьба сирия	1
центробанк начать размещать реклама новый купюра	1
саундтрек великий гэтсби удержать лидерство российский чарт itunes	0
центробанк предложить установить курс рубль доллар	0
либеральный консервативный иисус оказаться совершенно разный	0
костя цзю перейти весовой категория	0
россия оценить число потенциальный банкрот	0
московский метро найти бесхозный контрольный пакет акция норникель	1
минздрав поблагодарить гражданин самостоятельно вакцинировавшийся общественный место	1
православный активист намерить сорвать лекция гомеоморфизм мгу	1
депутат дума устроить давка драка распродажа доллар льготный курс	1
пятёрочка минировать дорогой товар предотвращение кража	1
игорь моисеев отмечать летний юбилей	0
domestos разработать свой антивирус	1
канцлер германия спасти банкротство крупный строительный фирма	0
роспотребнадзор приостановить ввоз молочный продукция литва	0
россия пометить лекарство	0
портал работа россия потратить млрд рубль трудоустройство заключить	1
президент украинский клуб рассказать желание купить месси миллион евро	0
предотвращение дальнейший испражнение улица петербург демонтировать балкон	1
словарь abbyy lingvo получить функция видеоперевод	0
мариинский театр поневоле присоединиться всеобщий забастовка италия	0
начальный класс перевести учебник арифметик юрий рыбникова	1
медведев назвать газпром национальный достояние	0
сильный бейсболист мир уличить применение допинг	0
игра борьба космический морпех ксеноморф выйти зимой	0
бардем предложить озвучить мультипликационный злодей	0
активист blm раскритиковать музей мадам тюссо белый скульптура байден	1
новый город сибирь построить место омск	1
поветкин рассказать готовность реванш кличко	0
вшэ установить процентный квота приём девушка представитель лгбт национальный меньшинство	1
трамп заявить план создание партия единый америка	1
цена норвежский красный рыба достигнуть десятилетний максимум	0
лубянский площадь перекрыть январь изз установка памятник дзержинский	1
москва пройти фестиваль психоделический рок	0
микроавтобус уаз краштест германия разбиться доехать бетонный блок	1
сергей иванов литва система свойчужой российский истребитель	0
депутат предложить принудительно конвертировать валютный вклад россиянин рубль изз угроза введение новый санкция	1
burger king начать продавать хотдог	0
директор европейский институт генетика расист говорить наука чемтый обязать белый мышь	1
oxxxуmiron признаться автор текст новый альбом являться гострайтер нейросеть	1
причина рост цена бензин стать картельный сговор нефтяник	0
задолженность зарплата россия вырасти процент	0
николай лукашенко назвать свой кумир джастин трюдо	1
футболист сборная алжир ударить журналистка	0
известный картина леонардо винчи обнаружить qrкод	1
далёкий божий помощь москва мужчина пустить храм инвалидный коляска	1
бельгийский министр одобрить бегство француз налог	0
олег кашин назначить новый глава издательский дом комсомольский правда	1
джо байден потребовать освободить навальный забыть	1
людмила путин потребовать половина дворец геленджик	1
азербайджан увеличить военный бюджет полтора	0
шойгу предложить строить место сгореть лес город якутия	1
христенко ошибочно заявить рекордный падение промышленность	0
московский учёный допустить существование разумный форма предел мкад	1
оперативник агентство национальный безопасность украина заменить балаклава традиционный японский маска	1
газпром провести газ родный деревня адольф гитлер	1
цик рф предложить ввести допустимый лимит ошибка подсчёт голос	1
правительство россия дорого заплатить федеральный целевой программа	0
объявить размер пенсия неработающий пенсионер	0
тренер российский клуб поклясться ребёнок честной игра	0
правительство снизить пенсионный возраст вакцинировать гражданин	1
суд комсомольскенаамур внести роман островский закаляться сталь список экстремистский материал	1
единый россия укомплектовать фракция госдума изз нежелание кандидат принимать депутатский мандат	1
владелец сеть розовый кролик пустить австралия	1
navistar поставить крупный партия грузовик канадский армия	0
защита навальный эльман пашаев досрочно восстановить действие адвокатский лицензия	1
лара крофт лишить сюжетный дополнение	0
камера nexus заставить работать быстрый	0
путин рассказать новый налоговый льгота нефтяник	0
армения перейти кириллица	1
делегация движение талибан встретиться воспитанник юнармия	1
институт виноградов рекомендовать переименовать русский язык российский	1
владимир мединский рассказать термин северный война семилетний война равноправный	1
инфляция начало перевалить процент	0
ридус сообщить обыск азиатскотихоокеанский банк	0
курников переигрывать сеяный теннисистка	0
националист просвирнин признать нежелательный территория россия	1
москва место б maximum открыться главклуб	0
лондон вручить театральный премия лоуренс оливье	0
гражданин белоруссия испражниться здание международный суд оон гаага	1
российский фигуристка ирина слуцкий дать серебряный медаль	0
минпросвещение перенести старт егэ огэ январь	1
жена билл гейтс развод получить корзина обои internet explorer	1
автор песня american pie арестовать домашний насилие	0
samsung выпустить экологичный терабайтный жёсткий диск	0
утконосый динозавр оказаться отличный зуб	0
вдв власть москва ввести qrкод купание фонтан	1
фанат загитов затравить олимпийский призёрка	0
памфилов намекнуть знать разрешить конфликт брюханов литвинович	1
лихтенштейн помешать иностранец уходить налог	0
хоккеист ударить лицо объятие соперник	0
фас прекратить дело google	0
мкс цуп перейти зимний	0
египетский водитель запретить включать двигатель пирамида	0
wada запретить спортсмен привить спутник v выступать олимпиада	1
выйти трейлер чудоженщина галь гадот	0
брызгалов одержать ю победа сезон	0
последний прокуратура проверка банк югра	0
менеджер юкос искать директор	0
джереми айронс сыграть генрих iv телефильм	0
россия начаться разработка уголовный кодекс антипрививочник	1
новатэк попросить кремль выделить политзаключённый обмен арестовать сша топменеджер компания	1
россия запретить пьяный поножовщина	1
родить мальчик получать повышенный материнский капитал	1
эффективный борьба коронавирус доктор фаучить рекомендовать прислушаться кашпировский	1
вратарь сборная исландия заранее готовиться пенальти месси	0
всемирный фольклориада уфа вывести новый штамм коронавирус	1
муамар каддафи стать совладелец ювентус	0
китай появиться биотехнологический майнинговый ферма	1
теодор рузвельт продлить срок служба	0
милон потребовать пускать океан ельзить россия	0
новый закон вывести депутат изпод действие закон	1
беглов объявить старт сезон разведение мост санктпетербург	1
участие акция протест россиянин обязать предоставить справка психиатр	1
сколково доставить образец кристалл комета галлей антимассспектрография	1
японский футболист изуродовать машина	0
автор книга гарри поттер пожертвовать доллар борьба рак	0
омск задержать трое мужчина попытаться вбросить бюллетень сталин	1
автобус возить президент дед занять место окно анатолий вассерман рассказать случай дедовщина госдума	1
японский экспорт сократиться ноябрь четверть	0
изз коронавирусный ограничение процент школьница смочь потерять девственность выпускной	1
демократический партия сша отозвать палата представитель гетеросексуальный конгрессмен	1
великобритания изменить дата смерть могила джордж оруэлл	1
российский футбольный союз принять извинение капитан сборная латвия	0
рейтинг джо байден вырасти появление билборд пенсильвания	1
учёный сколково установить частый использование кофеварка ускорять износ	1
предложение рго земля францаиосиф переименовать земля пётр феврония	1
неделя плеер bluray отвоевать hd dvd треть рынок	0
нидерланды увеличить свой контингент афганистан	0
изз дефицит уран тепловыделяющий сборка белорусский аэс заменить процессор amd	1
учитель музыка рассказывать ребёнок соль остаться стража суд	1
мегафон перестать предоставлять доступ интернет рейс аэрофлот	0
франция продать атомный подлодка отказаться австралия кндр	1
кремль предоставить оппозиционный деятель культура бесплатный билет пароход стокгольм	1
walt disney выпустить ранний мультфильм бертон	0
сталин осведомитель охранный отделение глава общественный палата призвать гражданин активный сообщать нарушение закон	1
гагарин безбожник рпц призвать идеализировать личность космонавт	1
индекс ртс упасть пункт	0
анб проверить причастность российский спецслужба заражение джена псак коронавирус	1
эмблема олимпиада токио заменить изз обвинение плагиат	0
президент монголия назвать александр невский хороший русский правитель	1
владимир крикун покинуть пост тренер российский хоккейный сборная	0
сборная россия пригласить новый биатлонистка	0
изз санкция сша россия убрать английский надпись схема навигация	1
госдума внести законопроект запрещать публично подвергать сомнение результат выборы	1
армия сша заказать крупный партия прибор ночной видение	0
мороз заставить разбронировать стратегический резерв топливо	0
следующий президентский выборы американец голосовать исключительно почта	1
балтфлот требовать губернатор беглов рубль испортить рында	1
изз ужесточение санитарный норма апартотель аркадий ротенберг оказаться грань банкротство	1
минюст обратиться суд взыскание навальный выплатить компенсация решение еспча	1
румыния попросить ес мвф антикризисный кредит	0
зюзинский суд обязать юрий дудеть согласовывать мвд кандидатура интервью	1
минкульт предложить высечь знаменитый фраза лавров гранит установить мид	1
многодетный отец продать пенсионер тысяча талон интернет	1
профсоюз рэпер москва потребовать освободить оксимирон	1
инфляция россия начало превысить процент	0
астроном обнаружить чёрный дыра финансовый отчёт роснано	1
авиакомпания utair избавиться	0
телекомментатор отказаться извиняться плющенко	0
итог хороший новость	1
российский биатлонистка остаться медаль индивидуальный гонка	0
подмосковье получить компенсация расширение москва	0
россия запретить продавать автомобиль ограничитель скорость	1
хабаровский коммунальный служба перекрасить великий китайский стена изз граффити навальный	1
давид микеланджело защитить грязь помощь сквозняк	0
долг российский регион вырасти процент	0
боярский потерять надежда чемпионство зенит	0
белый дом объяснить миролюбивый тон речь байден сбой работа телесуфлёр	1
центробанк лишать лицензия банк предоставлять кредит покупка игровой приставка	1
сборная россия разгромить анжи	0
россия поплатиться отсталость	0
вера буржуазный суд кпрф оспорить итог выборы собственный партийный тройка	1
клуб санмариный пригласить ромарио шумахер участие лига чемпион	0
интервью марадон напомнить пагубный пристрастие	0
уголовный кодекс появиться наказание разглагольствование	1
следственный комитет установить участник массовый беспорядок август го	1
ковальчук оторваться овечкин спор снайпер нхл	0
visa mastercard разделить судьба microsoft	0
фсин смочь объяснить ефрем сняться сериал	1
оппозиция отвергнуть кандидатура пост председатель японский цб	0
чемпион нба оказаться грань вылет плейофф	0
биржа поднять стоимость сбербанк процент	0
дальний восток задержать рыбак раскачивать лодка	1
сэм мендес поставить мюзикл чарли шоколадный фабрика	0
установка новый дорожный знак тротуар выделить миллиард рубль	1
петербуржец запретить выходить улица проведение парад вмф	1
госдума призвать платить пенсия впасть маразм	1
москва пожертвовать демонтировать плитка заповедник херсонести таврический	1
бактерия превратить растение спирт	0
несанкционированный митинг поддержка арестовать губернатор белозерцев проходить пенза	1
учёный сколково разработать система умный электронный голосование	1
чучело евгений понасенков выставить палата мера вес	1
жертва мейдофф стэнфорд объединиться ради жалоба конгресс сша	0
исполнять обязанность директор исаакий вовненко порадоваться уход пост	0
twitter замедлить работа аккаунт роскомнадзор	1
волгоградский депутат пересесть общественный транспорт судить попытка насильственный свержение власть	1
осудить статья ук мошенничество привлечь работа выборы госдума	1
российский защитник забросить победный шайба матч нхл	0
марш победить арестовать протестовать провести конвой центр москва	1
юрий розум опровергнуть свой назначение ректор гнесинк	0
деятель культура публично выражать антигосударственный позиция лишить статус российский	1
динар сафин выйти финал australian open	0
минсельхоз предложить бесплатно раздавать земля аграрный проект	0
шохин заняться перестановка рсппа	0
рекордный выручка apple привести обвал акция компания	0
станислав черчёс назначить главный тренер сборная россия хоккей	1
яндекс мвд объявить создание онлайнпроект яосведомитель	1
министр нефть иран указать опек чрезмерный экспорт	0
анатолий вассерман прессконференция верно ответить вопрос журналист	1
российский бобслеистолимпиец объявить возвращение армрестлинг	0
делегация цик беларусь прибыть москва курс повышение квалификация	1
российский фехтовальщик выиграть золото чемпионат мир	0
валентина терешков утро внести госдума законопроект полный запрет оружие гражданский	1
сборная россия отказаться забивать голый губерний встать колено бузов	1
совфедя призвать ввести запретить конституция цензура идеология	1
депутат призвать россиянин соблюдать великий пост окончание пандемия	1
среди привиться июнь молодой москвич разыграть военный билет	1
зюганов выгнать партия кухарка намереваться стать лидер кпрф	1
уралвагонзавод приостановить работа изз задержание рабочий вечерний смена	1
дмитрий солдатов возглавить российский список forbes	1
пенсионный фонд запросить правительство млрд рубль изз падение цена биткоина	1
виктор янукович представить книга независимый украина деградация	1
американский eximbank найти дать деньга	0
губернатор моргенштерн заблокировать суэцкий канал новый полномочие пенсионный фонд уникальный медицинский операция екатеринбург еженедельный рубрика панорама неделя	1
европейский экономика пасть натиск китаец	0
полинезия наслать зуб поле гоген	0
призывник негодный состояние здоровье отправить альтернативный гражданский служба	1
госслужащий лишний вес выдать денежный пособие поддержание здоровье	1
сколково выпустить новый модель клюкать	1
погребальный группа гана заметить гостиница покров	1
живить лес эрдоган распорядиться неделя выселить турецкий город противник вакцинация	1
состав московский водопроводный вода наслать взрывоопасный газ	1
дед мороз провести прямой линия канал декабрь	1
париж завести дело поддельный билет лувр	0
лорёл хаббард объяснить неудача олимпиада беременность	1
суд взыскать млн рубль двойник александр петров обман получить главный роль фильм стрелец	1
американский спасатель смочь отказать помощь расист гомофоб	1
раздача частота g конкурс засекретить	0
бывший совладелец юкос рассказать доля березовский сибнефть	0
лоза раскритиковать навальный попытка бороться коррупция	1
российский студент помочь афганский фермер собрать урожай	1
роботтостер прошагать рекордный расстояние	0
formula хаккинный одерживать победа сезон	0
роналда выйти ринг чемпион ufc макгрегор	0
иркутск задержать школьник заказать почта иностранный учебный пособие биология	1
белоруссия приостановить поставка морепродукт норвегия ответ давление правительство	1
неймара подать встречный иск барселона	0
римейк часть dragon quest выйти америка	0
локомотив выиграть кубок россия	0
журналист караул попросить деньга исторический фильм художник воин мечтатель	1
фрэнк лэмпард умолять грабитель вернуть именной бутсы	0
зенит найти наказать виновный нарушение регламент	0
каспаров линарес смочь обыграть соперник несостоявшийся чемпионский матч	0
крестный отец румынский народ бухарест пройти акция посвятить память чаушеска	1
армия австралия закупить тысяча машина миллиард доллар	0
молодой работник разрешить думать судьба пенсия	0
джейсон шрайер действие far cry проходить беларусь	1
оон признать сталинский конституция демократичный история	1
динамо выкупить акция футбольный клуб федорычев	0
mailru ввести плата использование почтовый ящик	1
футболист итальянский клуб объявить забастовка	0
скрытый лист выслать дипломат скрытый дождь инцидент шпион	1
хоакина феникс оставить кино ради музыка	0
касьянов рост ввп обгонять прогноз	0
джордж буш собираться бурить аляска	0
найти контейнер советский луноход оказаться макет	0
хулиган напасть лидер хорватский футбольный сборная	0
газпром попросить правительство новый льгота	0
сандра буллка удочерить девочка детский дом	0
польский компания потребовать еврокомиссия оштрафовать газпром	0
вручение нобель литература умереть лауреат дарио фо	0
январь россия обязать согласовывать домашний мероприятие празднование	1
художник раздеться догола четырёхлетний девочка музей	0
букмекер вырубить лес амазонии поддержка сборная англия	0
россия ввести налог выигрыш киберспортивный дисциплина	1
новый ведущий стать даня милохина	1
джеймс бонд угрожать американизация	0
памфиловец россия снять фильм цик спасти выборы иностранный вмешательство	1
эксимбанк решить предоставить тнк гарантия миллион доллар	0
акелла анонсировать новый disciple	0
сотникова рассказать любовь кержаков фигурный катание	0
падение результат медведев найтись объяснение	0
верховный суд сша разрешить избираться конгресс гражданин отрицательный iq	1
сша представить новый модификация убийца радар	0
английский боксёр бросить вызов брат кличко	0
теннисист шаповалов прокомментировать инцидент нанесение травма судья	0
отец сергий заподозрить причастность рейдерский захват калужский завод православный аппаратура	1
школьник оштрафовать несанкционированный акция протест minecraft	1
выплата внешний долг россия сократиться	0
цска провести новогодний ёлка ребёнок россия	0
красноярский пропасть российский олимпиец	0
декабрь владимир жириновский назвать свой преемник	1
единый россия попросить генпрокуратура реабилитировать малюта скуратов	1
обзор рынок американский индекс рухнуть	0
эстафета российский биатлонистка занять место	0
архив ренуар продать молоток	0
standard poor повысить рейтинг российский ценный бумага	0
закрыться создать human студия silicon knight	0
план обама спасти фондовый индекс сша обвал	0
индийский режиссёр снять фильм гибель королевский семья непал	0
сша зафиксировать рекордный количество банкротство	0
обречь семья справедливый народный презрение мать кристина тимановский написать открытый обличительный письмо	1
госдума создать комиссия создание новый комиссия госдума	1
канал провести телемарафон спасение роснано банкротство	1
россиянин украинец белорус помириться длительный ссора вместе поджечь синагога	1
минкульт запретить артист использовать псевдоним	1
сбербанк спрогнозировать укрепление доллар рубль	0
бразилия вооружаться новый внедорожник	0
канал показать февраль фильм дворец путин перевод гоблин	1
джастин тимберлейк анонсировать новый релиз instagram	0
искусственный интеллект победить чемпион мир игра го	0
московский метро начать штрафовать отсутствие маска оплата facepay	1
лично взять топор приехать администрация путин пообещать убрать новогодний ель село красноярский край	1
правительство россия повысить тариф жкх выдача очередной кредит белоруссия	1
